Sweden, Cohort fertility tables, birth orders 1 to 5+
Last modified: 11/01/2018
Cohort   x   b1x     l0x       m1x       q1x   Sb1x   b2x    l1x       m2x       q2x   Sb2x    b3x    l2x       m3x       q3x   Sb3x    b4x    l3x       m4x       q4x   Sb4x   b5px    l4x      m5px      q5px   Sb5px     chix
1955    12-    .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1955    13     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1955    14     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1955    15    24   10000   0.00242   0.00242      0     0      0         .         .      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1955    16   120    9976   0.01211   0.01203     24     2     24   0.02509   0.08627      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1955    17   271    9856   0.02793   0.02754    144     9    142   0.03390   0.06517      2      0      2   0.00000   0.00000      0      0      0         .         .      0      0      0         .         .       0        .
1955    18   437    9584   0.04662   0.04556    416    38    404   0.06277   0.09372     11      1     11   0.02521   0.06645      0      0      0         .         .      0      0      0         .         .       0        .
1955    19   611    9148   0.06905   0.06675    852    92    803   0.08619   0.11404     49      4     48   0.04468   0.08497      1      0      1   0.06884   0.24835      0      0      0         .         .       0        .
1955    20   651    8537   0.07923   0.07622   1463   167   1322   0.10648   0.12598    141      7    136   0.03359   0.05326      5      0      5   0.04572   0.07923      0      0      0   0.00000   0.00000       0     4.00
1955    21   643    7886   0.08502   0.08156   2114   271   1806   0.13608   0.15009    307     18    295   0.04228   0.06042     12      1     12   0.06491   0.11139      1      0      1   0.00000   0.00000       0     4.00
1955    22   617    7243   0.08896   0.08517   2757   382   2178   0.16635   0.17532    578     37    549   0.05125   0.06737     30      3     28   0.07290   0.11656      2      0      2   0.00000   0.00000       0     4.00
1955    23   607    6626   0.09593   0.09154   3374   443   2413   0.17741   0.18343    960     64    894   0.05890   0.07139     67      5     62   0.04941   0.07311      5      1      5   0.07344   0.10581       0     4.00
1955    24   656    6020   0.11533   0.10904   3980   484   2577   0.18178   0.18786   1403     93   1272   0.06370   0.07348    131     11    121   0.06515   0.08746     10      1     10   0.08411   0.13030       1     4.06
1955    25   599    5363   0.11839   0.11178   4637   520   2749   0.18650   0.18919   1887    124   1663   0.06671   0.07465    224     14    204   0.05378   0.06831     20      3     20   0.09853   0.13247       2     4.09
1955    26   542    4764   0.12053   0.11368   5236   541   2829   0.19130   0.19131   2407    164   2059   0.07280   0.07947    348     20    314   0.05314   0.06525     34      3     34   0.06422   0.08349       4     4.13
1955    27   478    4222   0.11995   0.11316   5778   533   2829   0.19015   0.18831   2949    177   2437   0.06762   0.07256    512     26    457   0.04924   0.05735     55      5     55   0.07898   0.09792       7     4.13
1955    28   433    3744   0.12287   0.11575   6256   552   2774   0.20319   0.19886   3481    206   2793   0.06956   0.07386    689     37    608   0.05365   0.06111     81      8     81   0.08080   0.09936      13     4.16
1955    29   389    3311   0.12472   0.11740   6689   512   2656   0.19755   0.19294   4033    244   3138   0.07454   0.07773    895     53    777   0.06036   0.06779    118     12    118   0.08163   0.09984      21     4.18
1955    30   340    2922   0.12346   0.11628   7078   481   2532   0.19552   0.19005   4545    256   3407   0.07268   0.07509   1139     65    968   0.06156   0.06761    171     17    171   0.08593   0.10240      33     4.19
1955    31   270    2582   0.11029   0.10453   7418   446   2391   0.19387   0.18672   5027    266   3632   0.07152   0.07329   1395     73   1159   0.05816   0.06301    236     19    236   0.06922   0.07992      50     4.21
1955    32   216    2313   0.09812   0.09353   7687   391   2214   0.18359   0.17637   5473    271   3812   0.06993   0.07103   1661     83   1352   0.05706   0.06104    309     27    309   0.07646   0.08666      69     4.22
1955    33   183    2096   0.09133   0.08734   7904   341   2040   0.17403   0.16729   5864    240   3932   0.06022   0.06100   1932     79   1540   0.04875   0.05130    392     27    392   0.06353   0.06994      96     4.24
