United States, Cohort fertility tables, birth orders 1 to 5+
Last modified: 22/06/2018
Cohort   x   b1x     l0x       m1x       q1x   Sb1x   b2x    l1x       m2x       q2x   Sb2x    b3x    l2x       m3x       q3x   Sb3x    b4x    l3x       m4x       q4x   Sb4x   b5px    l4x      m5px      q5px   Sb5px     chix
1918    12-    .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1918    13     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1918    14     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1918    15    67   10000   0.00672   0.00670      0     0      0         .         .      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1918    16   188    9933   0.01908   0.01890     67    13     67   0.08439   0.19444      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1918    17   352    9745   0.03676   0.03610    255    48    242   0.12084   0.19687     13      4     13   0.11655   0.31131      0      0      0         .         .      0      0      0         .         .       0        .
1918    18   548    9393   0.06012   0.05836    607   130    546   0.17214   0.23808     61     17     57   0.14663   0.29358      4      2      4   0.17405   0.48797      0      0      0         .         .       0        .
1918    19   657    8845   0.07718   0.07431   1155   232    964   0.19721   0.24069    191     45    170   0.17037   0.26420     21      6     19   0.16762   0.34050      2      1      2   0.25024   0.65246       0     4.00
1918    20   685    8188   0.08725   0.08361   1812   324   1389   0.20623   0.23300    423     94    357   0.19999   0.26421     66     19     57   0.19832   0.32919      8      5      8   0.27202   0.57920       1     4.15
1918    21   636    7503   0.08845   0.08470   2497   371   1750   0.19688   0.21178    746    153    587   0.22067   0.26154    160     45    133   0.23927   0.33719     27     14     27   0.28936   0.52765       6     4.23
1918    22   627    6868   0.09574   0.09136   3132   399   2015   0.18729   0.19791   1117    190    804   0.20944   0.23663    313     75    241   0.24988   0.30964     72     32     72   0.28852   0.43840      20     4.28
1918    23   696    6240   0.11817   0.11158   3760   436   2244   0.18359   0.19424   1516    215   1012   0.19152   0.21240    504    100    357   0.24171   0.28062    147     54    147   0.27433   0.36797      52     4.35
1918    24   685    5544   0.13164   0.12351   4456   510   2504   0.19696   0.20382   1952    255   1233   0.18768   0.20708    719    127    472   0.23651   0.26875    247     82    247   0.26561   0.33383     106     4.43
1918    25   525    4859   0.11431   0.10813   5141   511   2679   0.19021   0.19073   2462    278   1488   0.17336   0.18692    974    144    600   0.21627   0.24038    374    114    374   0.25574   0.30514     188     4.50
1918    26   383    4334   0.09240   0.08832   5666   433   2693   0.16225   0.16074   2973    251   1721   0.13836   0.14568   1252    139    734   0.17648   0.18986    518    139    518   0.23718   0.26910     302     4.58
1918    27   382    3951   0.10168   0.09677   6049   436   2643   0.16656   0.16488   3406    243   1903   0.12177   0.12793   1503    137    846   0.15189   0.16149    657    160    657   0.22015   0.24302     442     4.67
1918    28   423    3569   0.12604   0.11856   6431   482   2590   0.18843   0.18628   3842    277   2095   0.12580   0.13197   1746    147    952   0.14450   0.15433    794    187    794   0.21589   0.23587     601     4.76
1918    29   333    3146   0.11177   0.10585   6854   434   2530   0.17495   0.17146   4324    273   2301   0.11478   0.11878   2023    143   1082   0.12469   0.13220    941    198    941   0.19569   0.21056     789     4.84
1918    30   238    2813   0.08849   0.08474   7187   376   2429   0.15950   0.15497   4758    269   2462   0.10684   0.10918   2296    148   1212   0.11598   0.12177   1084    222   1084   0.19183   0.20489     987     4.91
1918    31   171    2574   0.06867   0.06639   7426   308   2291   0.13865   0.13450   5134    247   2569   0.09482   0.09596   2565    140   1333   0.10113   0.10517   1231    210   1231   0.16171   0.17092    1209     4.98
1918    32   137    2403   0.05849   0.05683   7597   267   2154   0.12759   0.12374   5443    244   2631   0.09232   0.09272   2811    148   1440   0.09934   0.10266   1372    242   1372   0.16744   0.17646    1419     5.03
1918    33   108    2267   0.04877   0.04761   7733   215   2024   0.10925   0.10635   5709    220   2654   0.08303   0.08296   3055    144   1536   0.09151   0.09378   1520    241   1520   0.15154   0.15872    1661     5.09
1918    34    87    2159   0.04118   0.04035   7841   172   1917   0.09201   0.08996   5924    200   2649   0.07574   0.07535   3276    140   1612   0.08530   0.08688   1664    243   1664   0.14044   0.14635    1903     5.14
1918    35    69    2072   0.03389   0.03333   7928   137   1831   0.07650   0.07507   6097    173   2622   0.06630   0.06585   3475    131   1672   0.07713   0.07810   1804    244   1804   0.13059   0.13532    2146     5.19
1918    36    54    2003   0.02715   0.02679   7997   105   1763   0.06055   0.05966   6234    140   2586   0.05463   0.05426   3648    116   1714   0.06731   0.06778   1934    240   1934   0.12069   0.12431    2390     5.24
1918    37    40    1949   0.02098   0.02076   8051    80   1711   0.04702   0.04649   6339    111   2551   0.04373   0.04346   3788     97   1738   0.05577   0.05599   2050    224   2050   0.10672   0.10925    2631     5.28
1918    38    33    1909   0.01725   0.01710   8091    63   1672   0.03821   0.03786   6419     90   2520   0.03591   0.03572   3899     86   1751   0.04894   0.04900   2148    224   2148   0.10237   0.10442    2855     5.33
1918    39    22    1876   0.01204   0.01197   8124    44   1642   0.02677   0.02660   6482     63   2493   0.02530   0.02520   3989     64   1756   0.03636   0.03635   2233    186   2233   0.08200   0.08317    3079     5.38
1918    40    16    1854   0.00864   0.00860   8146    28   1620   0.01739   0.01732   6526     43   2474   0.01752   0.01746   4052     46   1755   0.02602   0.02601   2297    149   2297   0.06403   0.06466    3265     5.42
