United States, Period fertility tables, birth orders 1 to 5+
Last modified: 22/06/2018
Year     x       w0x       m1x       q1x     l0x    b1x     L0x   Sb1x       w1x       m2x       q2x    l1x    b2x     L1x   Sb2x       w2x       m3x       q3x    l2x    b3x     L2x   Sb3x       w3x       m4x       q4x    l3x    b4x     L3x   Sb4x       w4x      m5px      q5px    l4x   b5px     L4x  Sb5px
1963    12-  1.00000   0.00000   0.00000   10000      0   10000      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1963    13   0.99987   0.00025   0.00025   10000      2    9999      0   0.00012   0.10944   0.10376      0      0       1      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1963    14   0.99783   0.00391   0.00390    9998     39    9978      2   0.00208   0.08792   0.08422      2      2      22      0   0.00009   0.10812   0.10257      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1963    15   0.99040   0.01146   0.01140    9959    114    9902     41   0.00899   0.10148   0.09658     39     10      94      2   0.00058   0.10042   0.09562      2      0       4      0   0.00003   0.00000   0.00000      0      0       0      0   0.00000         .         .      0      0       0      0
1963    16   0.96931   0.02970   0.02926    9845    288    9701    155   0.02733   0.15183   0.14111    143     42     277     12   0.00308   0.13054   0.12254     11      3      21      0   0.00026   0.12944   0.12157      0      0       1      0   0.00002   0.05506   0.05359      0      0       0      0
1963    17   0.92365   0.06026   0.05849    9557    559    9277    443   0.06317   0.21813   0.19668    389    138     631     54   0.01164   0.17722   0.16280     51     15      85      3   0.00139   0.15817   0.14657      3      1       7      0   0.00015   0.24217   0.21601      0      0       0      0
1963    18   0.85095   0.09541   0.09106    8998    819    8588   1002   0.11285   0.26113   0.23098    811    294    1127    191   0.03034   0.20082   0.18249    173     50     251     18   0.00511   0.18515   0.16946     17      6      31      1   0.00075   0.21016   0.19017      1      1       3      0
1963    19   0.75149   0.14622   0.13626    8179   1114    7621   1821   0.17140   0.28450   0.24907   1336    491    1727    486   0.06039   0.23990   0.21421    417    129     539     69   0.01390   0.22410   0.20152     62     22     100      7   0.00282   0.22684   0.20373      7      3      13      1
1963    20   0.63606   0.16791   0.15491    7064   1094    6517   2936   0.22449   0.29733   0.25885   1959    670    2253    977   0.10198   0.23878   0.21331    779    227     949    198   0.02929   0.23825   0.21289    168     56     234     29   0.00818   0.23886   0.21337     29     11      47      4
1963    21   0.52038   0.18509   0.16942    5970   1011    5464   4030   0.25574   0.31891   0.27505   2384    817    2561   1647   0.15161   0.24246   0.21624   1222    344    1418    424   0.05316   0.23740   0.21221    339    103     436     85   0.01911   0.24309   0.21675     85     29     121     15
